publication_uuid,person_uuid
1,1
2,2
2,3
2,4
2,5
2,6
3,7
3,8
3,9
3,10
3,11
4,12
4,13
4,14
4,15
4,16
5,17
5,18
5,19
5,20
5,21
5,22
6,23
7,24
7,25
8,26
9,27
10,28
11,29
13,30
13,31
14,32
15,33
15,34
16,35
17,36
18,37
20,38
21,39
21,40
21,41
21,42
21,43
21,44
21,45
21,46
23,47
24,48
24,49
24,50
24,51
24,52
24,53
24,54
25,55
26,56
27,57
28,58
28,59
28,60
28,61
28,62
29,63
30,64
30,65
30,66
30,67
30,68
30,69
30,70
31,71
31,72
31,73
31,74
31,75
31,76
32,77
32,78
32,79
32,80
32,81
33,82
33,83
33,84
33,85
33,86
34,87
35,88
36,89
37,90
37,91
37,92
38,93
39,94
40,95
41,96
42,97
42,98
43,99
43,100
43,101
44,102
45,103
47,104
48,105
48,106
48,107
48,108
48,109
48,110
48,111
48,112
48,113
48,114
48,115
48,116
48,117
48,118
48,119
48,120
49,121
49,122
49,123
50,124
51,125
52,126
52,127
53,128
53,129
53,130
54,131
55,132
56,133
57,134
57,135
57,136
57,137
57,138
58,139
58,140
58,141
58,142
58,143
58,144
58,145
58,146
58,147
58,148
58,149
58,150
58,151
58,152
58,153
58,154
58,155
58,156
58,157
58,158
58,159
58,160
58,161
58,162
58,163
58,164
58,165
58,166
58,167
58,168
58,169
58,170
59,171
60,172
62,173
64,174
64,175
65,176
65,177
66,178
67,179
67,180
67,181
67,182
68,183
69,184
70,185
71,186
72,187
73,188
74,189
76,190
77,191
77,192
78,193
79,194
80,195
81,196
81,197
81,198
81,199
82,200
82,201
82,202
82,203
82,204
82,205
82,206
82,207
82,208
82,209
83,210
85,211
85,212
85,213
85,214
86,215
87,216
87,217
88,218
89,219
90,220
90,221
90,222
90,223
90,224
90,225
90,226
91,227
92,228
92,229
92,230
92,231
92,232
92,233
93,234
94,235
94,236
94,237
94,238
95,239
96,240
96,241
98,242
99,243
99,244
99,245
99,246
99,247
99,248
99,249
99,250
100,251
101,252
102,253
103,254
104,255
105,256
106,257
107,258
108,259
109,260
109,261
109,262
110,263
111,264
112,265
112,266
112,267
112,268
113,269
114,270
114,271
114,272
114,273
114,274
114,275
114,276
116,277
116,278
116,279
116,280
116,281
116,282
116,283
117,284
118,285
119,286
120,287
121,288
122,289
123,290
124,291
125,292
125,293
125,294
125,295
125,296
125,297
126,298
127,299
128,300
129,301
129,302
129,303
129,304
129,305
130,306
131,307
132,308
133,309
134,310
135,311
136,312
137,313
138,314
138,315
138,316
138,317
139,318
140,319
141,320
141,321
142,322
143,323
144,324
145,325
146,326
146,327
146,328
147,329
148,330
149,331
150,332
151,333
152,334
153,335
154,336
155,337
156,338
156,339
156,340
157,341
158,342
159,343
160,344
161,345
162,346
163,347
164,348
165,349
166,350
167,351
167,352
167,353
167,354
168,355
168,356
170,357
171,358
172,359
172,360
173,361
174,362
175,363
176,364
177,365
178,366
178,367
178,368
178,369
179,370
180,371
181,372
182,373
183,374
184,375
185,376
185,377
185,378
185,379
186,380
187,381
187,382
187,383
187,384
187,385
189,386
189,387
190,388
190,389
190,390
190,391
190,392
191,393
192,394
192,395
192,396
193,397
194,398
195,399
195,400
196,401
196,402
197,403
198,404
199,405
199,406
200,407
201,408
202,409
203,410
203,411
204,412
205,413
206,414
206,415
206,416
207,417
208,418
209,419
210,420
211,421
211,422
211,423
212,424
213,425
213,426
213,427
213,428
213,429
213,430
213,431
214,432
215,433
216,434
217,435
218,436
218,437
218,438
218,439
218,440
218,441
218,442
219,443
220,444
221,445
221,446
221,447
221,448
223,449
224,450
225,451
226,452
227,453
227,454
227,455
227,456
227,457
228,458
229,459
230,460
231,461
232,462
232,463
232,464
232,465
232,466
232,467
233,468
235,469
236,470
237,471
238,472
239,473
240,474
241,475
242,476
242,477
242,478
243,479
244,480
245,481
245,482
245,483
245,484
245,485
247,486
248,487
248,488
248,489
248,490
248,491
249,492
250,493
251,494
252,495
253,496
254,497
255,498
256,499
257,500
258,501
259,502
259,503
260,504
261,505
262,506
263,507
264,508
265,509
266,510
267,511
268,512
269,513
270,514
272,515
272,516
272,517
272,518
272,519
272,520
272,521
272,522
272,523
272,524
272,525
272,526
272,527
272,528
272,529
272,530
272,531
272,532
272,533
272,534
272,535
272,536
272,537
272,538
272,539
272,540
272,541
272,542
272,543
272,544
272,545
272,546
272,547
272,548
273,549
273,550
273,551
273,552
273,553
273,554
273,555
273,556
274,557
275,558
276,559
276,560
276,561
276,562
276,563
